,SetNum_client,real_client,user_client,sys_client,SetNum_server,real_server,user_server,sys_server,name,SetNum,communication,Latency,client_comp,server_comp
0,1,4.89,0.34,0.02,1,4.94,0.38,0.0,Circuit-PSI,1,1812889,4.89,0.36000000000000004,0.38
1,1,5.18,0.33,0.01,1,5.18,0.33,0.02,Circuit-PSI,1,1812889,5.18,0.34,0.35000000000000003
2,2,10.3,0.66,0.02,2,10.36,0.68,0.02,Circuit-PSI,2,3625778,10.3,0.68,0.7000000000000001
3,2,9.87,0.65,0.02,2,9.87,0.67,0.02,Circuit-PSI,2,3625778,9.87,0.67,0.6900000000000001
4,4,19.88,1.3,0.08,4,19.93,1.38,0.03,Circuit-PSI,4,7251556,19.88,1.3800000000000001,1.41
5,4,19.44,1.32,0.05,4,19.44,1.38,0.03,Circuit-PSI,4,7251556,19.44,1.37,1.41
6,8,39.53,2.64,0.1,8,39.58,2.69,0.13,Circuit-PSI,8,14503112,39.53,2.74,2.82
7,8,39.78,2.68,0.07,8,39.78,2.7,0.11,Circuit-PSI,8,14503112,39.78,2.75,2.81
8,16,78.52,5.27,0.21,16,78.57,5.45,0.18,Circuit-PSI,16,29006224,78.52,5.4799999999999995,5.63
9,16,78.98,5.24,0.25,16,78.98,5.5,0.13,Circuit-PSI,16,29006224,78.98,5.49,5.63
10,32,158.52,10.57,0.43,32,158.56,10.81,0.45,Circuit-PSI,32,58012448,158.52,11.0,11.26
11,32,158.97,10.56,0.45,32,158.97,10.87,0.34,Circuit-PSI,32,58012448,158.97,11.01,11.209999999999999
12,64,317.6,21.11,0.96,64,317.64,21.8,0.79,Circuit-PSI,64,116024896,317.6,22.07,22.59
13,64,318.61,21.12,0.88,64,318.61,21.8,0.77,Circuit-PSI,64,116024896,318.61,22.0,22.57
14,128,636.45,42.39,1.75,128,636.5,43.69,1.45,Circuit-PSI,128,232049792,636.45,44.14,45.14
15,128,633.8,42.42,1.75,128,633.8,43.58,1.57,Circuit-PSI,128,232049792,633.8,44.17,45.15
16,256,1278.73,84.7,3.46,256,1278.78,87.21,3.03,Circuit-PSI,256,464099584,1278.73,88.16,90.24
17,256,1273.25,84.63,3.41,256,1273.25,86.94,3.11,Circuit-PSI,256,464099584,1273.25,88.03999999999999,90.05
18,512,2540.15,169.26,6.89,512,2540.2,173.89,6.25,Circuit-PSI,512,928199168,2540.15,176.14999999999998,180.14
19,512,2541.75,168.98,7.1,512,2541.75,174.18,5.85,Circuit-PSI,512,928199168,2541.75,176.07999999999998,180.03
20,1024,5083.81,338.61,13.58,1024,5083.86,348.2,12.21,Circuit-PSI,1024,1856398336,5083.81,352.19,360.40999999999997
21,1024,5095.87,338.61,13.62,1024,5095.87,347.94,12.2,Circuit-PSI,1024,1856398336,5095.87,352.23,360.14
22,2048,10201.2,677.59,26.49,2048,10201.25,695.72,24.36,Circuit-PSI,2048,3712796672,10201.2,704.08,720.08
23,2048,10194.81,677.77,26.29,2048,10194.81,695.98,24.2,Circuit-PSI,2048,3712796672,10194.81,704.06,720.1800000000001
24,2,9.58,0.8,0.06,2,9.64,0.97,0.07,Circuit-PSI,2,3625778,9.58,0.8600000000000001,1.04
25,2,9.69,0.8,0.07,2,9.7,1.07,0.05,Circuit-PSI,2,3625778,9.69,0.8700000000000001,1.12
26,2,9.63,0.79,0.08,2,9.63,1.04,0.07,Circuit-PSI,2,3625778,9.63,0.87,1.11
27,4,19.27,1.65,0.14,4,19.32,2.08,0.08,Circuit-PSI,4,7251556,19.27,1.79,2.16
28,4,19.35,1.74,0.11,4,19.36,2.02,0.1,Circuit-PSI,4,7251556,19.35,1.85,2.12
29,4,19.72,1.77,0.17,4,19.72,2.14,0.13,Circuit-PSI,4,7251556,19.72,1.94,2.27
30,8,39.25,3.43,0.27,8,39.3,3.95,0.27,Circuit-PSI,8,14503112,39.25,3.7,4.220000000000001
31,8,38.9,3.26,0.31,8,38.9,4.0,0.27,Circuit-PSI,8,14503112,38.9,3.57,4.27
32,8,39.22,3.38,0.4,8,39.22,4.11,0.27,Circuit-PSI,8,14503112,39.22,3.78,4.380000000000001
33,16,78.32,7.09,0.64,16,78.37,8.42,0.46,Circuit-PSI,16,29006224,78.32,7.7299999999999995,8.88
34,16,77.86,6.75,0.51,16,77.87,8.32,0.46,Circuit-PSI,16,29006224,77.86,7.26,8.780000000000001
35,16,78.0,6.58,0.62,16,78.01,8.05,0.52,Circuit-PSI,16,29006224,78.0,7.2,8.57
36,32,156.92,14.02,1.24,32,156.97,16.79,1.03,Circuit-PSI,32,58012448,156.92,15.26,17.82
37,32,156.43,13.91,1.31,32,156.43,16.89,0.99,Circuit-PSI,32,58012448,156.43,15.22,17.88
38,32,155.11,13.56,1.22,32,155.11,16.84,1.06,Circuit-PSI,32,58012448,155.11,14.780000000000001,17.9
39,64,312.19,26.7,2.5,64,312.24,32.76,2.12,Circuit-PSI,64,116024896,312.19,29.2,34.879999999999995
40,64,311.27,26.54,2.48,64,311.27,32.82,2.08,Circuit-PSI,64,116024896,311.27,29.02,34.9
41,64,312.82,27.17,2.4,64,312.82,32.86,2.07,Circuit-PSI,64,116024896,312.82,29.57,34.93
42,128,626.39,52.97,5.05,128,626.44,65.21,4.08,Circuit-PSI,128,232049792,626.39,58.019999999999996,69.28999999999999
43,128,629.34,53.41,4.65,128,629.34,63.37,3.81,Circuit-PSI,128,232049792,629.34,58.059999999999995,67.17999999999999
44,128,631.39,53.78,4.74,128,631.4,62.66,3.85,Circuit-PSI,128,232049792,631.39,58.52,66.50999999999999
45,256,1259.32,106.47,9.63,256,1259.37,124.86,7.62,Circuit-PSI,256,464099584,1259.32,116.1,132.48
46,256,1248.29,108.44,10.4,256,1248.29,131.52,7.85,Circuit-PSI,256,464099584,1248.29,118.84,139.37
47,256,1255.86,106.82,9.58,256,1255.87,127.59,7.54,Circuit-PSI,256,464099584,1255.86,116.39999999999999,135.13
48,512,2502.55,216.79,19.8,512,2502.6,260.18,16.13,Circuit-PSI,512,928199168,2502.55,236.59,276.31
49,512,2514.36,212.81,18.97,512,2514.36,247.19,15.45,Circuit-PSI,512,928199168,2514.36,231.78,262.64
50,512,2517.3,211.28,18.57,512,2517.31,246.98,15.4,Circuit-PSI,512,928199168,2517.3,229.85,262.38
51,1024,5020.34,429.19,38.32,1024,5020.39,506.47,31.15,Circuit-PSI,1024,1856398336,5020.34,467.51,537.62
52,1024,5023.99,428.81,37.62,1024,5023.99,504.76,30.78,Circuit-PSI,1024,1856398336,5023.99,466.43,535.54
