,SetNum_client,com_client,real_client,user_client,sys_client,SetNum_server,com_server,real_server,user_server,sys_server,name,SetNum,communication,Latency,client_comp,server_comp
0,2,275141,3.16,0.0,0.02,2,4221568,3.21,0.0,0.0,EMP-CA,2,4496709,3.16,0.02,0.0
1,2,275141,3.16,0.02,0.0,2,4221568,3.16,0.01,0.0,EMP-CA,2,4496709,3.16,0.02,0.01
2,4,546053,5.22,0.04,0.01,4,8434240,5.26,0.02,0.0,EMP-CA,4,8980293,5.22,0.05,0.02
3,4,546053,5.22,0.03,0.01,4,8434240,5.22,0.01,0.0,EMP-CA,4,8980293,5.22,0.04,0.01
4,8,825733,9.17,0.05,0.05,8,16859584,9.21,0.04,0.0,EMP-CA,8,17685317,9.17,0.1,0.04
5,8,825733,9.16,0.05,0.03,8,16859584,9.16,0.03,0.0,EMP-CA,8,17685317,9.16,0.08,0.03
6,16,1385093,17.11,0.1,0.08,16,33710272,17.15,0.06,0.0,EMP-CA,16,35095365,17.11,0.18,0.06
7,16,1385093,17.11,0.13,0.06,16,33710272,17.11,0.06,0.0,EMP-CA,16,35095365,17.11,0.19,0.06
8,32,2503813,32.9,0.24,0.14,32,67411648,32.95,0.1,0.01,EMP-CA,32,69915461,32.9,0.38,0.11
9,32,2503813,32.9,0.23,0.13,32,67411648,32.9,0.11,0.0,EMP-CA,32,69915461,32.9,0.36,0.11
10,64,5003397,64.47,0.39,0.32,64,134814400,64.5,0.19,0.03,EMP-CA,64,139817797,64.47,0.71,0.22
11,64,5003397,64.46,0.4,0.3,64,134814400,64.46,0.19,0.04,EMP-CA,64,139817797,64.46,0.7,0.23
12,128,9740421,127.57,0.93,0.49,128,269619904,127.62,0.41,0.05,EMP-CA,128,279360325,127.57,1.42,0.45999999999999996
13,128,9740421,127.56,0.79,0.56,128,269619904,127.56,0.4,0.05,EMP-CA,128,279360325,127.56,1.35,0.45
14,256,19214469,253.75,1.86,0.98,256,539230912,253.81,0.77,0.13,EMP-CA,256,558445381,253.75,2.84,0.9
15,256,19214469,253.75,1.8,0.97,256,539230912,253.76,0.79,0.1,EMP-CA,256,558445381,253.75,2.77,0.89
16,512,38424709,506.16,3.4,2.09,512,1078452928,506.22,1.53,0.28,EMP-CA,512,1116877637,506.16,5.49,1.81
17,512,38424709,506.29,3.8,2.02,512,1078452928,506.29,1.55,0.29,EMP-CA,512,1116877637,506.29,5.82,1.84
18,1024,76583045,1010.97,6.99,4.48,1024,2156896960,1011.02,2.98,0.54,EMP-CA,1024,2233480005,1010.97,11.47,3.52
19,1024,76583045,1011.05,6.93,4.18,1024,2156896960,1011.05,3.03,0.52,EMP-CA,1024,2233480005,1011.05,11.11,3.55
20,2048,152899717,2020.54,14.03,8.44,2048,4313785024,2020.59,6.02,1.06,EMP-CA,2048,4466684741,2020.54,22.47,7.08
21,2048,152899717,2020.64,13.7,8.49,2048,4313785024,2020.63,6.06,1.05,EMP-CA,2048,4466684741,2020.64,22.189999999999998,7.109999999999999
22,2,275141,3.4,0.05,0.03,2,4221568,3.45,0.03,0.01,EMP-CA,2,4496709,3.4,0.08,0.04
23,2,275141,3.38,0.05,0.02,2,4221568,3.38,0.04,0.02,EMP-CA,2,4496709,3.38,0.07,0.06
24,4,546053,5.28,0.07,0.07,4,8434240,5.33,0.08,0.01,EMP-CA,4,8980293,5.28,0.14,0.09
25,4,546053,5.38,0.09,0.04,4,8434240,5.38,0.05,0.02,EMP-CA,4,8980293,5.38,0.13,0.07
26,8,825733,9.28,0.19,0.06,8,16859584,9.32,0.1,0.04,EMP-CA,8,17685317,9.28,0.25,0.14
27,8,825733,9.35,0.1,0.17,8,16859584,9.35,0.12,0.02,EMP-CA,8,17685317,9.35,0.27,0.13999999999999999
28,16,1385093,17.28,0.35,0.12,16,33710272,17.34,0.22,0.04,EMP-CA,16,35095365,17.28,0.47,0.26
29,16,1385093,17.48,0.38,0.11,16,33710272,17.48,0.24,0.02,EMP-CA,16,35095365,17.48,0.49,0.26
30,32,2503813,33.22,0.53,0.34,32,67411648,33.27,0.39,0.06,EMP-CA,32,69915461,33.22,0.8700000000000001,0.45
31,32,2503813,33.34,0.61,0.42,32,67411648,33.34,0.41,0.07,EMP-CA,32,69915461,33.34,1.03,0.48
32,64,5003397,65.1,1.42,0.64,64,134814400,65.15,0.78,0.15,EMP-CA,64,139817797,65.1,2.06,0.93
33,64,5003397,65.28,1.2,0.74,64,134814400,65.28,0.79,0.15,EMP-CA,64,139817797,65.28,1.94,0.9400000000000001
34,128,9740421,128.91,2.14,1.93,128,269619904,128.96,1.51,0.34,EMP-CA,128,279360325,128.91,4.07,1.85
35,128,9740421,129.07,2.24,1.83,128,269619904,129.07,1.67,0.25,EMP-CA,128,279360325,129.07,4.07,1.92
36,256,19214469,256.2,4.96,2.91,256,539230912,256.25,3.07,0.57,EMP-CA,256,558445381,256.2,7.87,3.6399999999999997
37,256,19214469,256.31,4.6,3.52,256,539230912,256.31,3.02,0.63,EMP-CA,256,558445381,256.31,8.12,3.65
38,512,38424709,511.05,9.87,6.01,512,1078452928,511.09,6.03,1.2,EMP-CA,512,1116877637,511.05,15.879999999999999,7.23
39,512,38424709,511.36,12.51,9.89,512,1078452928,511.36,6.31,1.42,EMP-CA,512,1116877637,511.36,22.4,7.7299999999999995
40,1024,76583045,1020.8,19.88,12.17,1024,2156896960,1020.86,12.19,2.36,EMP-CA,1024,2233480005,1020.8,32.05,14.549999999999999
