,SetNum_client,com_client,real_client,user_client,sys_client,SetNum_server,com_server,real_server,user_server,sys_server,name,SetNum,communication,Latency,client_comp,server_comp
0,2,274502,1.65,0.01,0.0,2,2172160,1.69,0.0,0.0,EMP-X,2,2446662,1.65,0.01,0.0
1,2,274502,1.64,0.01,0.01,2,2172160,1.65,0.01,0.0,EMP-X,2,2446662,1.64,0.02,0.01
2,4,282694,1.83,0.02,0.0,4,4335424,1.88,0.01,0.0,EMP-X,4,4618118,1.83,0.02,0.01
3,4,282694,1.83,0.01,0.0,4,4335424,1.83,0.01,0.0,EMP-X,4,4618118,1.83,0.01,0.01
4,8,561222,2.29,0.03,0.0,8,8661952,2.34,0.01,0.0,EMP-X,8,9223174,2.29,0.03,0.01
5,8,561222,2.29,0.02,0.01,8,8661952,2.29,0.02,0.0,EMP-X,8,9223174,2.29,0.03,0.02
6,16,1118278,3.13,0.05,0.02,16,17315008,3.18,0.04,0.0,EMP-X,16,18433286,3.13,0.07,0.04
7,16,1118278,3.13,0.04,0.02,16,17315008,3.13,0.03,0.0,EMP-X,16,18433286,3.13,0.06,0.03
8,32,2232390,4.69,0.1,0.04,32,34621120,4.73,0.06,0.0,EMP-X,32,36853510,4.69,0.14,0.06
9,32,2232390,4.69,0.07,0.05,32,34621120,4.69,0.05,0.01,EMP-X,32,36853510,4.69,0.12000000000000001,0.060000000000000005
10,64,4460614,7.77,0.15,0.09,64,69233344,7.83,0.09,0.01,EMP-X,64,73693958,7.77,0.24,0.09999999999999999
11,64,4460614,7.77,0.16,0.09,64,69233344,7.77,0.09,0.02,EMP-X,64,73693958,7.77,0.25,0.11
12,128,8917062,13.94,0.42,0.09,128,138457792,13.99,0.2,0.03,EMP-X,128,147374854,13.94,0.51,0.23
13,128,8917062,14.04,0.34,0.2,128,138457792,14.04,0.21,0.01,EMP-X,128,147374854,14.04,0.54,0.22
14,256,17829958,26.26,0.64,0.21,256,276906688,26.32,0.38,0.07,EMP-X,256,294736646,26.26,0.85,0.45
15,256,17829958,26.37,0.56,0.34,256,276906688,26.37,0.37,0.06,EMP-X,256,294736646,26.37,0.9000000000000001,0.43
16,512,35655750,50.92,1.32,0.53,512,553804480,50.97,0.81,0.07,EMP-X,512,589460230,50.92,1.85,0.8800000000000001
17,512,35655750,51.02,1.39,0.54,512,553804480,51.02,0.82,0.06,EMP-X,512,589460230,51.02,1.93,0.8799999999999999
18,1024,71307334,100.23,2.67,1.08,1024,1107600064,100.28,1.52,0.18,EMP-X,1024,1178907398,100.23,3.75,1.7
19,1024,71307334,100.33,2.49,1.18,1024,1107600064,100.33,1.65,0.14,EMP-X,1024,1178907398,100.33,3.67,1.79
20,2048,142610502,198.85,5.0,2.48,2048,2215191232,198.92,3.03,0.34,EMP-X,2048,2357801734,198.85,7.48,3.3699999999999997
21,2048,142610502,198.95,4.8,2.13,2048,2215191232,198.95,3.01,0.41,EMP-X,2048,2357801734,198.95,6.93,3.42
22,2,274502,1.7,0.03,0.01,2,2172160,1.74,0.05,0.0,EMP-X,2,2446662,1.7,0.04,0.05
23,2,274502,1.7,0.06,0.0,2,2172160,1.7,0.04,0.0,EMP-X,2,2446662,1.7,0.06,0.04
24,4,282694,1.86,0.05,0.0,4,4335424,1.91,0.05,0.0,EMP-X,4,4618118,1.86,0.05,0.05
25,4,282694,1.97,0.04,0.01,4,4335424,1.97,0.04,0.01,EMP-X,4,4618118,1.97,0.05,0.05
26,8,561222,2.32,0.08,0.01,8,8661952,2.37,0.06,0.01,EMP-X,8,9223174,2.32,0.09,0.06999999999999999
27,8,561222,2.35,0.07,0.04,8,8661952,2.35,0.08,0.0,EMP-X,8,9223174,2.35,0.11000000000000001,0.08
28,16,1118278,3.18,0.16,0.07,16,17315008,3.24,0.13,0.02,EMP-X,16,18433286,3.18,0.23,0.15
29,16,1118278,3.26,0.14,0.05,16,17315008,3.26,0.11,0.02,EMP-X,16,18433286,3.26,0.19,0.13
30,32,2232390,4.73,0.23,0.14,32,34621120,4.79,0.21,0.04,EMP-X,32,36853510,4.73,0.37,0.25
31,32,2232390,4.75,0.26,0.18,32,34621120,4.75,0.22,0.02,EMP-X,32,36853510,4.75,0.44,0.24
32,64,4460614,7.83,0.52,0.26,64,69233344,7.88,0.4,0.04,EMP-X,64,73693958,7.83,0.78,0.44
33,64,4460614,7.93,0.54,0.24,64,69233344,7.93,0.41,0.04,EMP-X,64,73693958,7.93,0.78,0.44999999999999996
34,128,8917062,13.97,0.81,0.56,128,138457792,14.02,0.74,0.09,EMP-X,128,147374854,13.97,1.37,0.83
35,128,8917062,14.07,0.94,0.43,128,138457792,14.08,0.73,0.09,EMP-X,128,147374854,14.07,1.3699999999999999,0.82
36,256,17829958,26.48,1.66,0.97,256,276906688,26.54,1.49,0.2,EMP-X,256,294736646,26.48,2.63,1.69
37,256,17829958,26.41,1.81,0.91,256,276906688,26.41,1.61,0.13,EMP-X,256,294736646,26.41,2.72,1.7400000000000002
38,512,35655750,50.97,3.62,1.79,512,553804480,51.01,2.98,0.41,EMP-X,512,589460230,50.97,5.41,3.39
39,512,35655750,50.98,3.58,1.83,512,553804480,50.99,2.96,0.41,EMP-X,512,589460230,50.98,5.41,3.37
40,1024,71307334,100.29,6.59,2.89,1024,1107600064,100.34,5.38,0.68,EMP-X,1024,1178907398,100.29,9.48,6.06
41,1024,71307334,100.38,7.0,2.95,1024,1107600064,100.39,5.37,0.67,EMP-X,1024,1178907398,100.38,9.95,6.04
42,2048,142610502,198.93,13.73,6.96,2048,2215191232,198.98,11.46,1.5,EMP-X,2048,2357801734,198.93,20.69,12.96
43,2048,142610502,199.01,13.51,7.11,2048,2215191232,199.01,11.29,1.55,EMP-X,2048,2357801734,199.01,20.62,12.84
