,SetNum_client,real_client,user_client,sys_client,SetNum_server,real_server,user_server,sys_server,SetNum,communication,Latency,client_comp,server_comp,name
0,8,4.43,0.51,0.03,8,4.38,0.3,0.02,8,244272,4.43,0.54,0.32,SpOT
1,8,4.46,0.7,0.02,8,4.46,0.31,0.03,8,244272,4.46,0.72,0.33999999999999997,SpOT
2,8,4.43,0.62,0.03,8,4.43,0.3,0.02,8,244272,4.43,0.65,0.32,SpOT
3,8,4.44,0.71,0.04,8,4.44,0.32,0.01,8,244272,4.44,0.75,0.33,SpOT
4,8,4.45,0.6,0.04,8,4.46,0.32,0.01,8,244272,4.45,0.64,0.33,SpOT
5,8,4.43,0.66,0.03,8,4.43,0.3,0.02,8,244272,4.43,0.6900000000000001,0.32,SpOT
6,8,4.45,0.72,0.02,8,4.45,0.3,0.04,8,244272,4.45,0.74,0.33999999999999997,SpOT
7,8,4.45,0.6,0.04,8,4.45,0.31,0.01,8,244272,4.45,0.64,0.32,SpOT
8,8,4.43,0.68,0.01,8,4.43,0.28,0.03,8,244272,4.43,0.6900000000000001,0.31000000000000005,SpOT
9,8,4.42,0.59,0.03,8,4.42,0.29,0.02,8,244272,4.42,0.62,0.31,SpOT
10,16,8.86,1.02,0.06,16,8.76,0.6,0.04,16,488544,8.86,1.08,0.64,SpOT
11,16,8.92,1.4,0.04,16,8.92,0.62,0.06,16,488544,8.92,1.44,0.6799999999999999,SpOT
12,16,8.86,1.24,0.06,16,8.86,0.6,0.04,16,488544,8.86,1.3,0.64,SpOT
13,16,8.88,1.42,0.08,16,8.88,0.64,0.02,16,488544,8.88,1.5,0.66,SpOT
14,16,8.9,1.2,0.08,16,8.92,0.64,0.02,16,488544,8.9,1.28,0.66,SpOT
15,16,8.86,1.32,0.06,16,8.86,0.6,0.04,16,488544,8.86,1.3800000000000001,0.64,SpOT
16,16,8.9,1.44,0.04,16,8.9,0.6,0.08,16,488544,8.9,1.48,0.6799999999999999,SpOT
17,16,8.9,1.2,0.08,16,8.9,0.62,0.02,16,488544,8.9,1.28,0.64,SpOT
18,16,8.86,1.36,0.02,16,8.86,0.56,0.06,16,488544,8.86,1.3800000000000001,0.6200000000000001,SpOT
19,16,8.84,1.18,0.06,16,8.84,0.58,0.04,16,488544,8.84,1.24,0.62,SpOT
20,32,17.72,2.04,0.12,32,17.52,1.2,0.08,32,977088,17.72,2.16,1.28,SpOT
21,32,17.84,2.8,0.08,32,17.84,1.24,0.12,32,977088,17.84,2.88,1.3599999999999999,SpOT
22,32,17.72,2.48,0.12,32,17.72,1.2,0.08,32,977088,17.72,2.6,1.28,SpOT
23,32,17.76,2.84,0.16,32,17.76,1.28,0.04,32,977088,17.76,3.0,1.32,SpOT
24,32,17.8,2.4,0.16,32,17.84,1.28,0.04,32,977088,17.8,2.56,1.32,SpOT
25,32,17.72,2.64,0.12,32,17.72,1.2,0.08,32,977088,17.72,2.7600000000000002,1.28,SpOT
26,32,17.8,2.88,0.08,32,17.8,1.2,0.16,32,977088,17.8,2.96,1.3599999999999999,SpOT
27,32,17.8,2.4,0.16,32,17.8,1.24,0.04,32,977088,17.8,2.56,1.28,SpOT
