SetNum,real,user,sys
1, 4.89, 0.34, 0.02
1, 5.18, 0.33, 0.01
2, 10.30, 0.66, 0.02
2, 9.87, 0.65, 0.02
4, 19.88, 1.30, 0.08
4, 19.44, 1.32, 0.05
8, 39.53, 2.64, 0.10
8, 39.78, 2.68, 0.07
16, 78.52, 5.27, 0.21
16, 78.98, 5.24, 0.25
32, 158.52, 10.57, 0.43
32, 158.97, 10.56, 0.45
64, 317.60, 21.11, 0.96
64, 318.61, 21.12, 0.88
128, 636.45, 42.39, 1.75
128, 633.80, 42.42, 1.75
256, 1278.73, 84.70, 3.46
256, 1273.25, 84.63, 3.41
512, 2540.15, 169.26, 6.89
512, 2541.75, 168.98, 7.10
1024, 5083.81, 338.61, 13.58
1024, 5095.87, 338.61, 13.62
2048, 10201.20, 677.59, 26.49
2048, 10194.81, 677.77, 26.29
2, 9.58, 0.80, 0.06
2, 9.69, 0.80, 0.07
2, 9.63, 0.79, 0.08
4, 19.27, 1.65, 0.14
4, 19.35, 1.74, 0.11
4, 19.72, 1.77, 0.17
8, 39.25, 3.43, 0.27
8, 38.90, 3.26, 0.31
8, 39.22, 3.38, 0.40
16, 78.32, 7.09, 0.64
16, 77.86, 6.75, 0.51
16, 78.00, 6.58, 0.62
32, 156.92, 14.02, 1.24
32, 156.43, 13.91, 1.31
32, 155.11, 13.56, 1.22
64, 312.19, 26.70, 2.50
64, 311.27, 26.54, 2.48
64, 312.82, 27.17, 2.40
128, 626.39, 52.97, 5.05
128, 629.34, 53.41, 4.65
128, 631.39, 53.78, 4.74
256, 1259.32, 106.47, 9.63
256, 1248.29, 108.44, 10.40
256, 1255.86, 106.82, 9.58
512, 2502.55, 216.79, 19.80
512, 2514.36, 212.81, 18.97
512, 2517.30, 211.28, 18.57
1024, 5020.34, 429.19, 38.32
1024, 5023.99, 428.81, 37.62
1024, 5022.33, 425.39, 38.27
2048, 10055.35, 853.03, 75.72
2048, 10075.63, 849.30, 73.98
2048, 10064.54, 849.50, 73.66
