SetNum,real,user,sys
1, 4.94, 0.38, 0.00
1, 5.18, 0.33, 0.02
2, 10.36, 0.68, 0.02
2, 9.87, 0.67, 0.02
4, 19.93, 1.38, 0.03
4, 19.44, 1.38, 0.03
8, 39.58, 2.69, 0.13
8, 39.78, 2.70, 0.11
16, 78.57, 5.45, 0.18
16, 78.98, 5.50, 0.13
32, 158.56, 10.81, 0.45
32, 158.97, 10.87, 0.34
64, 317.64, 21.80, 0.79
64, 318.61, 21.80, 0.77
128, 636.50, 43.69, 1.45
128, 633.80, 43.58, 1.57
256, 1278.78, 87.21, 3.03
256, 1273.25, 86.94, 3.11
512, 2540.20, 173.89, 6.25
512, 2541.75, 174.18, 5.85
1024, 5083.86, 348.20, 12.21
1024, 5095.87, 347.94, 12.20
2048, 10201.25, 695.72, 24.36
2048, 10194.81, 695.98, 24.20
2, 9.64, 0.97, 0.07
2, 9.70, 1.07, 0.05
2, 9.63, 1.04, 0.07
4, 19.32, 2.08, 0.08
4, 19.36, 2.02, 0.10
4, 19.72, 2.14, 0.13
8, 39.30, 3.95, 0.27
8, 38.90, 4.00, 0.27
8, 39.22, 4.11, 0.27
16, 78.37, 8.42, 0.46
16, 77.87, 8.32, 0.46
16, 78.01, 8.05, 0.52
32, 156.97, 16.79, 1.03
32, 156.43, 16.89, 0.99
32, 155.11, 16.84, 1.06
64, 312.24, 32.76, 2.12
64, 311.27, 32.82, 2.08
64, 312.82, 32.86, 2.07
128, 626.44, 65.21, 4.08
128, 629.34, 63.37, 3.81
128, 631.40, 62.66, 3.85
256, 1259.37, 124.86, 7.62
256, 1248.29, 131.52, 7.85
256, 1255.87, 127.59, 7.54
512, 2502.60, 260.18, 16.13
512, 2514.36, 247.19, 15.45
512, 2517.31, 246.98, 15.40
1024, 5020.39, 506.47, 31.15
1024, 5023.99, 504.76, 30.78
1024, 5022.33, 503.51, 30.87
2048, 10055.40, 1000.37, 62.13
2048, 10075.63, 989.48, 61.34
2048, 10064.55, 988.86, 60.79
