SetNum,com,real,user,sys
2, 275141, 3.16, 0.00, 0.02
2, 275141, 3.16, 0.02, 0.00
4, 546053, 5.22, 0.04, 0.01
4, 546053, 5.22, 0.03, 0.01
8, 825733, 9.17, 0.05, 0.05
8, 825733, 9.16, 0.05, 0.03
16, 1385093, 17.11, 0.10, 0.08
16, 1385093, 17.11, 0.13, 0.06
32, 2503813, 32.90, 0.24, 0.14
32, 2503813, 32.90, 0.23, 0.13
64, 5003397, 64.47, 0.39, 0.32
64, 5003397, 64.46, 0.40, 0.30
128, 9740421, 127.57, 0.93, 0.49
128, 9740421, 127.56, 0.79, 0.56
256, 19214469, 253.75, 1.86, 0.98
256, 19214469, 253.75, 1.80, 0.97
512, 38424709, 506.16, 3.40, 2.09
512, 38424709, 506.29, 3.80, 2.02
1024, 76583045, 1010.97, 6.99, 4.48
1024, 76583045, 1011.05, 6.93, 4.18
2048, 152899717, 2020.54, 14.03, 8.44
2048, 152899717, 2020.64, 13.70, 8.49
2, 275141, 3.40, 0.05, 0.03
2, 275141, 3.38, 0.05, 0.02
4, 546053, 5.28, 0.07, 0.07
4, 546053, 5.38, 0.09, 0.04
8, 825733, 9.28, 0.19, 0.06
8, 825733, 9.35, 0.10, 0.17
16, 1385093, 17.28, 0.35, 0.12
16, 1385093, 17.48, 0.38, 0.11
32, 2503813, 33.22, 0.53, 0.34
32, 2503813, 33.34, 0.61, 0.42
64, 5003397, 65.10, 1.42, 0.64
64, 5003397, 65.28, 1.20, 0.74
128, 9740421, 128.91, 2.14, 1.93
128, 9740421, 129.07, 2.24, 1.83
256, 19214469, 256.20, 4.96, 2.91
256, 19214469, 256.31, 4.60, 3.52
512, 38424709, 511.05, 9.87, 6.01
512, 38424709, 511.36, 12.51, 9.89
1024, 76583045, 1020.80, 19.88, 12.17
1024, 76583045, 1021.03, 18.96, 12.73
2048, 152899717, 2037.95, 35.25, 23.42
2048, 152899717, 2040.27, 38.74, 23.54
