SetNum,com,real,user,sys
2, 4221568, 3.21, 0.00, 0.00
2, 4221568, 3.16, 0.01, 0.00
4, 8434240, 5.26, 0.02, 0.00
4, 8434240, 5.22, 0.01, 0.00
8, 16859584, 9.21, 0.04, 0.00
8, 16859584, 9.16, 0.03, 0.00
16, 33710272, 17.15, 0.06, 0.00
16, 33710272, 17.11, 0.06, 0.00
32, 67411648, 32.95, 0.10, 0.01
32, 67411648, 32.90, 0.11, 0.00
64, 134814400, 64.50, 0.19, 0.03
64, 134814400, 64.46, 0.19, 0.04
128, 269619904, 127.62, 0.41, 0.05
128, 269619904, 127.56, 0.40, 0.05
256, 539230912, 253.81, 0.77, 0.13
256, 539230912, 253.76, 0.79, 0.10
512, 1078452928, 506.22, 1.53, 0.28
512, 1078452928, 506.29, 1.55, 0.29
1024, 2156896960, 1011.02, 2.98, 0.54
1024, 2156896960, 1011.05, 3.03, 0.52
2048, 4313785024, 2020.59, 6.02, 1.06
2048, 4313785024, 2020.63, 6.06, 1.05
2, 4221568, 3.45, 0.03, 0.01
2, 4221568, 3.38, 0.04, 0.02
4, 8434240, 5.33, 0.08, 0.01
4, 8434240, 5.38, 0.05, 0.02
8, 16859584, 9.32, 0.10, 0.04
8, 16859584, 9.35, 0.12, 0.02
16, 33710272, 17.34, 0.22, 0.04
16, 33710272, 17.48, 0.24, 0.02
32, 67411648, 33.27, 0.39, 0.06
32, 67411648, 33.34, 0.41, 0.07
64, 134814400, 65.15, 0.78, 0.15
64, 134814400, 65.28, 0.79, 0.15
128, 269619904, 128.96, 1.51, 0.34
128, 269619904, 129.07, 1.67, 0.25
256, 539230912, 256.25, 3.07, 0.57
256, 539230912, 256.31, 3.02, 0.63
512, 1078452928, 511.09, 6.03, 1.20
512, 1078452928, 511.36, 6.31, 1.42
1024, 2156896960, 1020.86, 12.19, 2.36
1024, 2156896960, 1021.03, 12.35, 2.39
2048, 4313785024, 2038.03, 22.25, 4.28
2048, 4313785024, 2040.26, 24.17, 4.53
