SetNum,com,real,user,sys
2, 274502, 1.65, 0.01, 0.00
2, 274502, 1.64, 0.01, 0.01
4, 282694, 1.83, 0.02, 0.00
4, 282694, 1.83, 0.01, 0.00
8, 561222, 2.29, 0.03, 0.00
8, 561222, 2.29, 0.02, 0.01
16, 1118278, 3.13, 0.05, 0.02
16, 1118278, 3.13, 0.04, 0.02
32, 2232390, 4.69, 0.10, 0.04
32, 2232390, 4.69, 0.07, 0.05
64, 4460614, 7.77, 0.15, 0.09
64, 4460614, 7.77, 0.16, 0.09
128, 8917062, 13.94, 0.42, 0.09
128, 8917062, 14.04, 0.34, 0.20
256, 17829958, 26.26, 0.64, 0.21
256, 17829958, 26.37, 0.56, 0.34
512, 35655750, 50.92, 1.32, 0.53
512, 35655750, 51.02, 1.39, 0.54
1024, 71307334, 100.23, 2.67, 1.08
1024, 71307334, 100.33, 2.49, 1.18
2048, 142610502, 198.85, 5.00, 2.48
2048, 142610502, 198.95, 4.80, 2.13
2, 274502, 1.70, 0.03, 0.01
2, 274502, 1.70, 0.06, 0.00
4, 282694, 1.86, 0.05, 0.00
4, 282694, 1.97, 0.04, 0.01
8, 561222, 2.32, 0.08, 0.01
8, 561222, 2.35, 0.07, 0.04
16, 1118278, 3.18, 0.16, 0.07
16, 1118278, 3.26, 0.14, 0.05
32, 2232390, 4.73, 0.23, 0.14
32, 2232390, 4.75, 0.26, 0.18
64, 4460614, 7.83, 0.52, 0.26
64, 4460614, 7.93, 0.54, 0.24
128, 8917062, 13.97, 0.81, 0.56
128, 8917062, 14.07, 0.94, 0.43
256, 17829958, 26.48, 1.66, 0.97
256, 17829958, 26.41, 1.81, 0.91
512, 35655750, 50.97, 3.62, 1.79
512, 35655750, 50.98, 3.58, 1.83
1024, 71307334, 100.29, 6.59, 2.89
1024, 71307334, 100.38, 7.00, 2.95
2048, 142610502, 198.93, 13.73, 6.96
2048, 142610502, 199.01, 13.51, 7.11
