SetNum,com,real,user,sys
2, 2172160, 1.69, 0.00, 0.00
2, 2172160, 1.65, 0.01, 0.00
4, 4335424, 1.88, 0.01, 0.00
4, 4335424, 1.83, 0.01, 0.00
8, 8661952, 2.34, 0.01, 0.00
8, 8661952, 2.29, 0.02, 0.00
16, 17315008, 3.18, 0.04, 0.00
16, 17315008, 3.13, 0.03, 0.00
32, 34621120, 4.73, 0.06, 0.00
32, 34621120, 4.69, 0.05, 0.01
64, 69233344, 7.83, 0.09, 0.01
64, 69233344, 7.77, 0.09, 0.02
128, 138457792, 13.99, 0.20, 0.03
128, 138457792, 14.04, 0.21, 0.01
256, 276906688, 26.32, 0.38, 0.07
256, 276906688, 26.37, 0.37, 0.06
512, 553804480, 50.97, 0.81, 0.07
512, 553804480, 51.02, 0.82, 0.06
1024, 1107600064, 100.28, 1.52, 0.18
1024, 1107600064, 100.33, 1.65, 0.14
2048, 2215191232, 198.92, 3.03, 0.34
2048, 2215191232, 198.95, 3.01, 0.41
2, 2172160, 1.74, 0.05, 0.00
2, 2172160, 1.70, 0.04, 0.00
4, 4335424, 1.91, 0.05, 0.00
4, 4335424, 1.97, 0.04, 0.01
8, 8661952, 2.37, 0.06, 0.01
8, 8661952, 2.35, 0.08, 0.00
16, 17315008, 3.24, 0.13, 0.02
16, 17315008, 3.26, 0.11, 0.02
32, 34621120, 4.79, 0.21, 0.04
32, 34621120, 4.75, 0.22, 0.02
64, 69233344, 7.88, 0.40, 0.04
64, 69233344, 7.93, 0.41, 0.04
128, 138457792, 14.02, 0.74, 0.09
128, 138457792, 14.08, 0.73, 0.09
256, 276906688, 26.54, 1.49, 0.20
256, 276906688, 26.41, 1.61, 0.13
512, 553804480, 51.01, 2.98, 0.41
512, 553804480, 50.99, 2.96, 0.41
1024, 1107600064, 100.34, 5.38, 0.68
1024, 1107600064, 100.39, 5.37, 0.67
2048, 2215191232, 198.98, 11.46, 1.50
2048, 2215191232, 199.01, 11.29, 1.55
